Concepto,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,
,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual, T1R, T2P,T3,T4,Anual
     Índice de volumen físico base 2013=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Estados Unidos Mexicanos,    78.8,    81.0,    79.6,    81.8,    80.3,    81.5,    84.4,    82.5,    85.3,    83.4,    82.1,    86.7,    84.6,    88.0,    85.3,    86.6,    90.2,    88.6,    90.9,    89.1,    88.4,    92.0,    90.7,    93.4,    91.1,    89.4,    94.3,    91.8,    92.8,    92.1,    84.4,    86.1,    87.2,    91.2,    87.3,    88.3,    92.1,    91.5,    95.2,    91.8,    91.5,    94.6,    95.3,    99.0,    95.1,    96.0,    98.5,    97.9,    102.2,    98.6,    96.6,    100.5,    99.4,    103.5,    100.0,    99.2,    102.8,    102.1,    106.8,    102.7,    102.6,    105.9,    106.2,    109.4,    106.0,    105.1,    108.9,    107.7,    112.5,    108.6,    108.7,    110.6,    109.3,    114.6,    110.8,    110.2,    114.2,    112.4,    115.9,    113.2,    111.4,    112.9,    111.9,    115.0,    112.8,    110.0,    92.0,,,
          Aguascalientes,    67.4,    68.7,    72.2,    72.2,    70.1,    69.0,    73.1,    73.2,    77.7,    73.2,    72.7,    74.6,    74.3,    78.3,    75.0,    75.5,    78.8,    80.7,    84.7,    79.9,    85.0,    85.1,    89.1,    88.7,    87.0,    84.0,    88.5,    89.0,    87.8,    87.3,    78.4,    80.1,    85.2,    87.9,    82.9,    84.8,    86.7,    90.4,    90.4,    88.1,    88.2,    90.5,    92.6,    96.5,    92.0,    94.6,    96.3,    96.8,    100.6,    97.0,    97.0,    100.3,    100.6,    102.1,    100.0,    107.0,    108.9,    109.9,    115.1,    110.2,    110.7,    113.8,    115.3,    119.0,    114.7,    116.1,    124.2,    123.2,    126.5,    122.5,    125.8,    123.9,    125.4,    126.4,    125.4,    129.1,    127.7,    129.2,    134.3,    130.1,    129.6,    130.1,    129.2,    131.1,    130.0,    125.0,    99.7,,,
          Baja California,    87.4,    86.5,    85.5,    83.9,    85.8,    88.1,    94.5,    90.5,    90.3,    90.9,    88.0,    93.5,    93.8,    96.7,    93.0,    91.8,    98.2,    100.3,    101.4,    98.0,    94.1,    99.1,    102.6,    100.8,    99.2,    96.9,    101.6,    99.9,    94.8,    98.3,    85.3,    88.3,    88.0,    88.8,    87.6,    86.1,    93.4,    93.9,    94.5,    92.0,    90.0,    94.5,    96.1,    98.0,    94.7,    92.7,    99.4,    99.5,    100.3,    98.0,    95.4,    101.0,    102.1,    101.5,    100.0,    96.2,    103.6,    103.8,    107.3,    102.7,    103.9,    109.8,    111.6,    114.1,    109.9,    108.4,    115.1,    116.6,    120.0,    115.0,    113.2,    120.3,    119.5,    122.5,    118.9,    116.7,    124.6,    121.1,    123.8,    121.6,    121.1,    125.9,    124.4,    124.8,    124.0,    120.2,    102.4,,,
          Baja California Sur,    64.9,    64.9,    65.5,    69.1,    66.1,    64.0,    72.3,    70.2,    77.1,    70.9,    75.5,    76.9,    73.3,    78.3,    76.0,    79.4,    81.4,    80.4,    84.5,    81.4,    86.5,    89.9,    96.3,    96.7,    92.3,    95.3,    99.3,    93.7,    90.6,    94.7,    92.0,    95.4,    91.7,    97.6,    94.2,    96.6,    96.4,    93.8,    97.9,    96.2,    100.2,    98.7,    97.8,    102.2,    99.7,    99.4,    105.2,    98.9,    104.6,    102.0,    97.3,    99.2,    98.3,    105.2,    100.0,    100.2,    101.0,    98.8,    103.5,    100.9,    114.5,    115.8,    109.7,    113.8,    113.5,    110.9,    112.8,    116.3,    125.8,    116.4,    116.9,    125.7,    136.7,    136.7,    129.0,    138.3,    150.6,    161.5,    151.4,    150.4,    133.7,    142.9,    142.0,    139.1,    139.4,    124.7,    82.3,,,
          Campeche,    143.5,    143.5,    147.5,    146.5,    145.3,    144.3,    146.8,    148.5,    148.2,    146.9,    143.4,    147.4,    142.5,    142.9,    144.0,    145.2,    144.1,    140.4,    133.0,    140.7,    134.1,    134.8,    129.7,    127.0,    131.4,    124.4,    120.3,    119.0,    117.3,    120.3,    112.8,    107.9,    107.0,    105.4,    108.3,    105.8,    105.1,    104.0,    103.3,    104.6,    102.8,    100.9,    98.2,    101.0,    100.8,    98.4,    97.9,    99.4,    100.7,    99.1,    99.8,    99.8,    100.2,    100.3,    100.0,    98.1,    95.3,    93.1,    94.0,    95.1,    92.1,    86.5,    88.0,    87.1,    88.4,    87.0,    82.6,    82.8,    80.8,    83.3,    78.4,    75.7,    71.3,    72.9,    74.6,    73.9,    73.7,    73.8,    72.4,    73.4,    72.1,    71.8,    72.2,    71.3,    71.9,    72.2,    65.0,,,
          Coahuila de Zaragoza,    79.0,    79.8,    81.5,    84.1,    81.1,    81.9,    83.2,    83.6,    85.1,    83.5,    81.2,    85.7,    85.8,    88.3,    85.3,    87.0,    91.0,    89.6,    89.5,    89.3,    86.7,    94.1,    94.6,    96.6,    93.0,    92.2,    95.0,    92.0,    91.1,    92.6,    74.5,    74.8,    79.1,    84.8,    78.3,    85.1,    91.8,    92.9,    94.3,    91.0,    94.3,    96.9,    98.0,    99.8,    97.2,    100.0,    104.3,    103.1,    101.1,    102.1,    95.9,    100.3,    101.0,    102.7,    100.0,    100.1,    104.1,    104.9,    106.5,    103.9,    100.5,    104.2,    107.4,    106.9,    104.8,    103.4,    105.6,    106.9,    109.4,    106.3,    108.0,    112.5,    112.0,    114.7,    111.8,    110.4,    115.6,    113.1,    113.5,    113.2,    110.3,    116.3,    115.4,    111.5,    113.4,    103.7,    85.8,,,
          Colima,    69.6,    75.0,    75.6,    76.1,    74.1,    71.5,    73.0,    75.3,    76.8,    74.2,    71.1,    74.9,    76.1,    76.6,    74.7,    77.5,    79.8,    79.4,    80.7,    79.3,    88.3,    86.1,    82.0,    82.7,    84.8,    86.6,    86.1,    86.8,    86.0,    86.4,    81.7,    82.4,    83.4,    86.9,    83.6,    87.4,    87.6,    88.5,    95.3,    89.7,    93.7,    97.0,    97.4,    96.6,    96.2,    95.1,    100.9,    98.3,    101.8,    99.0,    97.2,    101.8,    99.0,    102.0,    100.0,    102.8,    101.6,    100.5,    105.1,    102.5,    102.8,    102.5,    104.3,    109.9,    104.9,    105.6,    105.2,    107.3,    113.2,    107.8,    106.8,    109.2,    111.3,    119.1,    111.6,    110.2,    115.5,    114.0,    117.4,    114.3,    115.3,    117.9,    119.6,    124.0,    119.2,    118.3,    101.3,,,
          Chiapas,    93.1,    88.5,    84.0,    87.7,    88.3,    86.9,    84.5,    81.9,    86.2,    84.9,    86.8,    87.5,    82.1,    85.8,    85.5,    86.2,    89.2,    88.1,    90.2,    88.4,    92.9,    90.8,    86.6,    89.3,    89.9,    89.5,    92.5,    91.0,    94.8,    91.9,    92.4,    89.8,    90.2,    93.1,    91.4,    93.0,    94.6,    98.7,    99.6,    96.5,    97.3,    100.0,    98.7,    101.9,    99.5,    100.8,    99.7,    100.1,    104.8,    101.4,    96.3,    98.4,    97.7,    107.6,    100.0,    104.3,    104.4,    103.6,    106.4,    104.7,    101.3,    102.5,    100.9,    105.1,    102.5,    104.0,    102.7,    99.5,    102.5,    102.2,    102.9,    97.9,    95.7,    98.6,    98.8,    100.0,    95.5,    96.9,    94.4,    96.7,    98.3,    92.3,    92.9,    93.9,    94.3,    98.8,    80.8,,,
          Chihuahua,    73.8,    73.2,    75.6,    80.2,    75.7,    75.2,    79.5,    80.0,    81.6,    79.1,    77.2,    81.2,    82.3,    86.1,    81.7,    83.1,    87.1,    88.8,    93.4,    88.1,    85.9,    91.0,    92.5,    95.7,    91.3,    88.1,    94.3,    92.2,    95.6,    92.5,    81.5,    81.8,    84.3,    89.2,    84.2,    82.3,    88.0,    88.3,    92.3,    87.7,    82.7,    89.0,    89.9,    97.3,    89.7,    91.1,    95.4,    96.9,    102.3,    96.4,    93.4,    102.2,    99.4,    105.0,    100.0,    95.1,    102.5,    102.7,    107.5,    102.0,    101.4,    105.0,    108.3,    114.2,    107.2,    104.2,    111.7,    113.0,    119.7,    112.2,    110.0,    116.1,    115.5,    121.6,    115.8,    109.7,    118.4,    118.1,    126.4,    118.1,    115.7,    121.0,    119.9,    125.3,    120.4,    115.5,    100.3,,,
