Periodo,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2017
I,3.41946983,2.90459665,4.78270519,3.7341027,4.55340895,3.44737278,2.57333461,3.06289069,3.7683802,4.02955925,3.4570378,2.07011141,3.54379381,2.72269086,4.10774437,2.88599129,1.75734114,2.99446346,3.75635425,2.66734125,2.45442375,3.75712055,3.2911405,1.98400824,3.47471636,3.5604604,6.80165788,4.64338404,3.55123456,3.49102058,2.01514258,2.84082752
II,4.15766127,2.85665089,4.01611198,4.01660555,5.03767844,3.81352138,2.3416187,2.71601821,4.93758923,4.00471311,4.09749337,1.42243782,3.13224508,2.59875608,3.5950484,2.72589466,1.61799121,3.63077768,3.99763599,2.15781069,3.30578919,4.91541938,2.73081748,2.57588316,3.74317238,3.7497525,7.32890975,3.4703702,3.70768608,3.53331683,1.90282398,2.93147789
III,3.31424426,3.01911675,4.5565804,4.02734035,4.249437,3.67060499,3.0365988,2.43765101,5.15938403,3.82692095,2.8197332,1.44998911,2.23991901,3.16900804,4.38703768,2.57580598,2.6115419,4.07802956,3.97098455,2.1642714,2.80273367,4.12499348,3.25654171,2.46803314,3.94024695,4.04606236,6.94277067,4.33823358,4.00299347,3.2250595,2.52691506,2.64368332
IV,3.66582106,2.74508261,4.0809934,3.41702801,3.66606829,3.5484787,2.50606547,2.59842928,4.58324597,3.27199468,3.80249647,1.55517057,2.59505003,2.93653896,4.00393143,2.13658836,2.37298912,3.58590974,3.44118458,1.74599497,2.49007341,4.57298715,3.14837302,2.28357119,3.46505052,3.57094414,6.90790237,3.98182174,3.67284815,3.91780346,1.68621132,2.59809793
2018
I,3.69523609,2.12340909,3.68900897,2.62545238,4.05356296,3.39226644,2.02225901,3.8945428,3.66320196,4.29503079,3.47229143,1.2384333,2.44606007,2.34794143,4.32806275,1.92912276,1.89241908,3.38301819,3.61403298,1.27729858,2.11131961,3.20720164,2.61834133,2.86025654,2.40457814,3.227147,7.59292626,3.8733236,3.72102585,2.82585594,2.00595711,3.60538093
II,3.3187266,2.66062342,3.45033176,3.32160291,4.07475125,2.62142289,2.9031527,3.39130737,5.13932034,3.71043606,3.38429414,0.84691768,2.43141054,3.04117183,4.11991594,1.93553439,2.12006159,4.11365681,3.47085043,1.40646135,2.64586573,3.87003818,2.57446366,2.39993133,3.7417081,3.62146941,6.3728854,3.81351876,3.27104784,3.25791652,1.51914225,2.54472882
III,3.6539948,3.1202755,4.11356977,3.64243027,4.80203708,3.21199088,2.87521576,3.07089016,4.57950778,4.95073988,3.62883955,1.53436359,3.05328266,3.05763781,3.77400883,2.37241789,2.36583485,4.65625089,3.74633944,1.6251564,3.02100091,4.25286708,2.64413259,2.479163,3.38627766,4.20393672,7.12154039,3.79329989,3.78543659,3.34428184,2.07649631,3.02096461
IV,3.18405916,2.22821921,3.65038295,3.4781586,3.61229409,3.68772631,3.51072674,2.2017152,5.12970133,4.07773675,3.80672415,1.21156553,2.08258955,2.54980432,3.84448952,2.45709883,2.10152897,3.57073259,3.52297312,1.9818174,2.51886022,3.70097256,3.05603903,2.13750796,3.11281499,3.61958109,7.85333997,3.83681181,4.02246841,2.73604963,1.45905387,2.44923146
2019
