,Date,State,Residences
2667462,2020-02-16,,-1.0
2667463,2020-02-17,,-2.0
2667464,2020-02-18,,-2.0
2667465,2020-02-19,,-1.0
2667466,2020-02-20,,-1.0
2667467,2020-02-21,,-1.0
2667468,2020-02-22,,0.0
2667469,2020-02-23,,-1.0
2667470,2020-02-24,,-1.0
2667471,2020-02-25,,-1.0
2667472,2020-02-26,,-1.0
2667473,2020-02-27,,-1.0
2667474,2020-02-28,,-2.0
2667475,2020-02-29,,-1.0
2667476,2020-03-01,,-1.0
2667477,2020-03-02,,-2.0
2667478,2020-03-03,,-2.0
2667479,2020-03-04,,-1.0
2667480,2020-03-05,,-1.0
2667481,2020-03-06,,-1.0
2667482,2020-03-07,,0.0
2667483,2020-03-08,,0.0
2667484,2020-03-09,,7.0
2667485,2020-03-10,,-2.0
2667486,2020-03-11,,-1.0
2667487,2020-03-12,,-2.0
2667488,2020-03-13,,-1.0
2667489,2020-03-14,,-1.0
2667490,2020-03-15,,-1.0
2667491,2020-03-16,,13.0
2667492,2020-03-17,,2.0
2667493,2020-03-18,,6.0
2667494,2020-03-19,,7.0
2667495,2020-03-20,,9.0
2667496,2020-03-21,,9.0
2667497,2020-03-22,,8.0
2667498,2020-03-23,,12.0
2667499,2020-03-24,,14.0
2667500,2020-03-25,,16.0
2667501,2020-03-26,,16.0
2667502,2020-03-27,,17.0
2667503,2020-03-28,,12.0
2667504,2020-03-29,,11.0
2667505,2020-03-30,,15.0
2667506,2020-03-31,,16.0
2667507,2020-04-01,,18.0
2667508,2020-04-02,,19.0
2667509,2020-04-03,,21.0
2667510,2020-04-04,,16.0
2667511,2020-04-05,,13.0
2667512,2020-04-06,,19.0
2667513,2020-04-07,,20.0
2667514,2020-04-08,,20.0
2667515,2020-04-09,,23.0
2667516,2020-04-10,,30.0
2667517,2020-04-11,,20.0
2667518,2020-04-12,,13.0
2667519,2020-04-13,,20.0
2667520,2020-04-14,,21.0
2667521,2020-04-15,,21.0
2667522,2020-04-16,,22.0
2667523,2020-04-17,,24.0
2667524,2020-04-18,,17.0
2667525,2020-04-19,,13.0
2667526,2020-04-20,,20.0
2667527,2020-04-21,,21.0
2667528,2020-04-22,,22.0
2667529,2020-04-23,,23.0
2667530,2020-04-24,,24.0
2667531,2020-04-25,,18.0
2667532,2020-04-26,,14.0
2667533,2020-04-27,,22.0
2667534,2020-04-28,,17.0
2667535,2020-04-29,,22.0
2667536,2020-04-30,,20.0
2667537,2020-05-01,,28.0
2667538,2020-05-02,,18.0
2667539,2020-05-03,,13.0
2667540,2020-05-04,,21.0
2667541,2020-05-05,,22.0
2667542,2020-05-06,,22.0
2667543,2020-05-07,,23.0
2667544,2020-05-08,,24.0
2667545,2020-05-09,,17.0
2667546,2020-05-10,,11.0
2667547,2020-05-11,,21.0
2667548,2020-05-12,,21.0
2667549,2020-05-13,,22.0
2667550,2020-05-14,,22.0
2667551,2020-05-15,,23.0
2667552,2020-05-16,,16.0
2667553,2020-05-17,,13.0
2667554,2020-05-18,,20.0
2667555,2020-05-19,,21.0
2667556,2020-05-20,,21.0
2667557,2020-05-21,,22.0
2667558,2020-05-22,,22.0
2667559,2020-05-23,,16.0
2667560,2020-05-24,,13.0
2667561,2020-05-25,,20.0
2667562,2020-05-26,,20.0
2667563,2020-05-27,,21.0
2667564,2020-05-28,,21.0
2667565,2020-05-29,,22.0
2667566,2020-05-30,,14.0
2667567,2020-05-31,,12.0
2667568,2020-06-01,,18.0
2667569,2020-06-02,,19.0
2667570,2020-06-03,,19.0
2667571,2020-06-04,,20.0
2667572,2020-06-05,,21.0
2667573,2020-06-06,,14.0
2667574,2020-06-07,,11.0
2667575,2020-06-08,,18.0
2667576,2020-06-09,,18.0
2667577,2020-06-10,,18.0
2667578,2020-06-11,,19.0
2667579,2020-06-12,,19.0
2667580,2020-06-13,,13.0
2667581,2020-06-14,,11.0
2667582,2020-06-15,,16.0
2667583,2020-06-16,,17.0
2667584,2020-06-17,,18.0
2667585,2020-06-18,,18.0
2667586,2020-06-19,,17.0
2667587,2020-06-20,,12.0
2667588,2020-06-21,,8.0
2667589,2020-06-22,,17.0
2667590,2020-06-23,,17.0
2667591,2020-06-24,,18.0
2667592,2020-06-25,,18.0
2667593,2020-06-26,,19.0
2667594,2020-06-27,,12.0
2667595,2020-06-28,,10.0
2667596,2020-06-29,,16.0
2667597,2020-06-30,,15.0
2667598,2020-07-01,,16.0
2667599,2020-07-02,,16.0
2667600,2020-07-03,,17.0
2667601,2020-07-04,,12.0
2667602,2020-07-05,,9.0
2667603,2020-07-06,,15.0
2667604,2020-07-07,,16.0
2667605,2020-07-08,,16.0
2667606,2020-07-09,,17.0
2667607,2020-07-10,,17.0
2667608,2020-07-11,,12.0
2667609,2020-07-12,,9.0
2667610,2020-07-13,,15.0
2667611,2020-07-14,,15.0
2667612,2020-07-15,,15.0
2667613,2020-07-16,,15.0
2667614,2020-07-17,,16.0
2667615,2020-07-18,,11.0
2667616,2020-07-19,,9.0
2667617,2020-07-20,,15.0
2667618,2020-07-21,,15.0
2667619,2020-07-22,,16.0
2667620,2020-07-23,,16.0
2667621,2020-07-24,,17.0
2667622,2020-07-25,,11.0
2667623,2020-07-26,,10.0
2667624,2020-07-27,,16.0
2667625,2020-07-28,,16.0
2667626,2020-07-29,,16.0
